timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1686668966069,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-1,text,true,,288,137,1,1,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966103,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-2,text,true,,288,137,2,2,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966129,1,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-1,text,true,,286,137,2,2,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966135,1,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-3,text,true,,288,137,3,3,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,1
1686668966169,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-4,text,true,,288,137,4,4,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966201,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-5,text,true,,288,137,5,5,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966223,1,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-2,text,true,,286,137,5,5,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966234,1,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-6,text,true,,288,137,6,6,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966249,0,HTTP Request_2_3_small,200,OK,Thread_Group_2 2-1,text,true,,286,137,6,6,http://192.168.56.101/small/test3_small.txt,0,1,0,WINDOWS-CASA,0,0
1686668966266,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-7,text,true,,288,137,7,7,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966299,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-8,text,true,,288,137,8,8,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966316,0,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-3,text,true,,286,137,8,8,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686668966334,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-9,text,true,,288,137,9,9,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966367,5,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-10,text,true,,288,137,10,10,http://192.168.56.101/small/test1_small.txt,5,1,0,WINDOWS-CASA,0,2
1686668966399,5,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-11,text,true,,288,137,11,11,http://192.168.56.101/small/test1_small.txt,5,1,0,WINDOWS-CASA,0,2
1686668966409,2,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-4,text,true,,286,137,11,11,http://192.168.56.101/small/test2_small.txt,2,1,0,WINDOWS-CASA,0,0
1686668966432,5,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-12,text,true,,288,137,12,12,http://192.168.56.101/small/test1_small.txt,5,1,0,WINDOWS-CASA,0,2
1686668966465,4,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-13,text,true,,288,137,13,13,http://192.168.56.101/small/test1_small.txt,4,1,0,WINDOWS-CASA,0,2
1686668966497,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-14,text,true,,288,137,14,14,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966501,1,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-5,text,true,,286,137,14,14,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966523,1,HTTP Request_2_3_small,200,OK,Thread_Group_2 2-2,text,true,,286,137,14,14,http://192.168.56.101/small/test3_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966530,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-15,text,true,,288,137,15,15,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966564,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-16,text,true,,288,137,16,16,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966594,0,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-6,text,true,,286,137,16,16,http://192.168.56.101/small/test2_small.txt,0,1,0,WINDOWS-CASA,0,0
1686668966597,1,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-17,text,true,,288,137,17,17,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,1
1686668966610,11,HTTP Request_2_1_medium,200,OK,Thread_Group_2 2-1,bin,true,,1054586,139,17,17,http://192.168.56.101/medium/test1_medium.jpg,1,1,0,WINDOWS-CASA,0,0
1686668966631,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-18,text,true,,288,137,18,18,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966665,1,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-19,text,true,,288,137,19,19,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966686,1,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-7,text,true,,286,137,19,19,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966695,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-20,text,true,,288,137,20,20,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966728,1,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-21,text,true,,288,137,21,21,http://192.168.56.101/small/test1_small.txt,1,1,0,WINDOWS-CASA,0,1
1686668966761,2,HTTP Request_2_1_small,200,OK,Thread_Group_2 2-22,text,true,,288,137,22,22,http://192.168.56.101/small/test1_small.txt,2,1,0,WINDOWS-CASA,0,1
1686668966780,1,HTTP Request_2_2_small,200,OK,Thread_Group_2 2-8,text,true,,286,137,22,22,http://192.168.56.101/small/test2_small.txt,1,1,0,WINDOWS-CASA,0,0
1686668966795,1,HTTP Request_2_3_small,200,OK,Thread_Group_2 2-3,text,true,,286,137,23,23,http://192.168.56.101/small/test3_small.txt,1,1,0,WINDOWS-CASA,0,0
